Sapling_Tag_ID,Date,Season,Year,Canopy Cover,Percent_Class,Categories,Dominant_Category,Max_Category,Blight_Score,Branch1_twig,Branch1_leaf,Branch2_twig,Branch2_leaf,Branch3_twig,Branch3_leaf,TOTAL_Twig,TOTAL_Leaf,TOTAL_Leaf_per_Twig,Browse,Vertical,Other_Pattern,Alive,Comments
SC1-15,11-Oct-16,F,2016,1,0,0,0,0,0,7,9,3,0,6,2,16,11,0.68,N,N,N,Y,some leaf damage
SC1-16,11-Oct-16,F,2016,1,0,0,0,0,0,8,4,5,0,7,0,20,4,0.2,N,N,N,Y,"some leaf damage, just a few leaves"
SC1-17,11-Oct-16,F,2016,5,0,0,0,0,0,14,86,6,17,5,25,25,128,5.12,N,N,N,Y,
SC1-18,11-Oct-16,F,2016,1,0,0,0,0,0,5,0,11,0,3,0,19,0,0,Y,N,N,Y,"few leaves, damaged"
SC1-19,11-Oct-16,F,2016,3,0,0,0,0,0,6,17,4,0,15,40,25,57,2.28,Y,N,N,Y,some leaf damage
SC1-20,11-Oct-16,F,2016,5,0,0,0,0,0,4,11,7,26,9,26,20,63,3.15,N,N,N,Y,some leaf damage
SC1-01,25-May-17,S,2017,5,1,1,1,1,25,7,18,7,23,5,23,19,64,3.36,n,n,y,y,only 2 BLD leaves
SC1-02,25-May-17,S,2017,5,1,3,3,3,35,6,15,6,28,4,12,16,55,3.43,n,n,y,y,only 3 BLD leaves
SC1-03,25-May-17,S,2017,3,1,2,2,2,30,3,8,3,5,0,0,6,13,2.16,n,n,y,y,clustered; some insect damage
SC1-04,25-May-17,S,2017,5,0,0,0,0,0,8,32,4,16,7,17,19,65,3.42,n,n,n,y,some insect damage
SC1-05,25-May-17,S,2017,4,1,12,2,2,30,7,41,5,20,8,30,20,91,4.55,n,n,y,y,top leader dead; only 2 BLD leaves; some insect damage
SC1-06,25-May-17,S,2017,0,0,,0,0,0,0,0,0,0,0,0,0,0,,n,,,n,"dead, part rotted"
SC1-07,25-May-17,S,2017,5,0,0,0,0,0,9,64,5,14,6,12,20,90,4.5,n,n,n,y,
SC1-08,25-May-17,S,2017,5,0,0,0,0,0,10,55,4,14,6,11,20,80,4,n,n,n,y,insect damage
SC1-09,25-May-17,S,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n,n,n,y,insect damage; only 4 leaves on tree
SC1-10,25-May-17,S,2017,5,0,0,0,0,0,11,32,5,18,11,112,27,162,6,n,n,n,y,
SC1-11,25-May-17,S,2017,5,2,1234,2,4,52,9,61,7,16,11,57,27,134,4.96,n,n,y,y,BLD clustered
SC1-12,25-May-17,S,2017,5,1,12,2,2,30,3,9,4,13,3,6,10,28,2.8,n,n,y,y,BLD clustered
SC1-13,25-May-17,S,2017,5,1,12,1,2,26,6,17,3,8,7,21,16,46,2.87,n,n,y,y,BLD clustered
SC1-14,25-May-17,S,2017,1,1,1,1,1,25,3,6,5,27,0,0,8,33,4.12,n,n,y,y,"BLD clustered; top dead, apparently from CWD, lower 1/4 alive and healthy"
SC1-15,25-May-17,S,2017,5,0,0,0,0,0,5,28,5,10,6,32,16,70,4.37,n,n,n,y,
SC1-16,25-May-17,S,2017,5,1,1,1,1,25,7,355,5,24,7,30,19,409,21.52,n,n,n,y,1 leaf with symptoms
SC1-17,25-May-17,S,2017,5,1,1,1,1,25,14,83,5,10,10,28,29,121,4.17,n,n,n,y,insect herbivory damage
SC1-18,25-May-17,S,2017,0,0,,0,0,0,0,0,0,0,0,0,0,0,,n,n,,n,cause of death unknown
SC1-19,25-May-17,S,2017,5,1,12,2,2,30,5,13,14,121,11,64,30,198,6.6,y,n,y,y,minor browse; BLD clustered
SC1-20,25-May-17,S,2017,5,1,12,2,2,30,4,13,7,32,9,25,20,70,3.5,n,n,y,y,BLD clustered
PB1-01,24-May-17,S,2017,4,4,123,3,3,95,3,8,6,15,5,8,14,31,2.21,n,n,y,y,caterpillar damage
PB1-02,24-May-17,S,2017,2,4,234,3,4,96,7,5,4,7,5,8,16,20,1.25,n,n,y,y,other physical damage and browning; many 4s
PB1-03,24-May-17,S,2017,3,4,1234,3,4,96,4,16,4,8,6,20,14,44,3.14,n,n,y,y,"many dead twigs, buds; many 4s"
PB1-04,24-May-17,S,2017,4,4,1234,3,4,96,11,35,7,36,3,7,21,78,3.71,n,n,y,y,manys 2s & 3s; hairs on affected leaves(?)
PB1-05,24-May-17,S,2017,5,4,1234,3,4,96,4,6,3,9,14,62,21,77,3.66,n,n,y,y,
PB1-06,24-May-17,S,2017,5,2,1234,2,4,52,4,7,9,36,5,10,18,53,2.94,n,n,y,y,many dead buds; many 4s
PB1-07,24-May-17,S,2017,2,4,1234,3,4,96,3,7,6,16,3,7,12,30,2.5,n,n,y,y,
PB1-08,24-May-17,S,2017,5,3,1234,2,4,72,8,15,3,8,11,52,22,75,3.4,n,n,y,y,
PB1-09,24-May-17,S,2017,4,2,123,2,3,51,4,10,5,23,3,11,12,44,3.66,n,n,y,y,
PB1-10,24-May-17,S,2017,5,3,1234,2,4,72,5,11,3,7,8,34,16,52,3.25,y,n,y,y,some holes and brown spots on some leaves
PB1-11,24-May-17,S,2017,4,3,1234,2,4,72,3,5,7,15,5,21,15,41,2.73,n,n,y,y,just under 75% leaf cover; minor insect damage
PB1-12,24-May-17,S,2017,4,3,1234,2,4,72,9,35,8,16,3,8,20,59,2.95,n,n,y,y,"2,3,4 almost equal numbers; some insect damage"
PB1-13,24-May-17,S,2017,4,4,1234,2,4,92,7,34,4,23,11,38,22,95,4.31,n,n,y,y,many 3s
PB1-14,24-May-17,S,2017,5,3,1234,3,4,76,5,28,3,2,7,32,15,62,4.13,y,n,y,y,few failed buds; some insect damage
PB1-15,24-May-17,S,2017,4,3,1234,1,4,68,10,93,3,10,3,5,16,108,6.75,y,n,y,y,"leaf cover just over 50%; BLD nearly 50%; many 2,3,4s; brown, curled edges on some leaves"
PB1-16,24-May-17,S,2017,4,3,1234,3,4,76,6,6,9,48,9,11,24,65,2.7,n,n,y,y,some dead buds
PB1-17,24-May-17,S,2017,4,2,1234,2,4,52,4,9,4,5,5,19,13,33,2.53,n,n,y,y,some herbivore and other damage
PB1-18,24-May-17,S,2017,4,2,123,2,3,51,3,2,4,16,5,9,12,27,2.25,n,n,y,y,
PB1-19,24-May-17,S,2017,4,3,123,2,3,71,8,8,8,33,9,21,25,62,2.48,y,n,y,y,herbivore damage; some failed buds
PB1-20,24-May-17,S,2017,5,2,123,2,3,51,9,58,4,6,5,16,18,80,4.44,n,n,y,y,very minor insect damage
SB1-01,31-May-17,S,2017,3,4,1234,2,4,92,8,17,4,5,0,0,12,22,1.83,n,n,n,y,only 1 clean leaf
SB1-02,31-May-17,S,2017,2,3,134,4,4,80,3,6,4,4,0,0,7,10,1.42,n,n,y,y,
SB1-03,31-May-17,S,2017,1,2,134,4,4,60,3,4,7,10,0,0,10,14,1.4,n,n,y,y,
SB1-04,31-May-17,S,2017,5,4,1234,3,4,96,3,3,4,14,6,25,13,42,3.23,n,n,y,y,
SB1-05,31-May-17,S,2017,0,0,,,,,,,,,,,,,,,,,n,DEAD
SB1-06,31-May-17,S,2017,3,4,1234,2,4,92,10,22,4,2,5,7,19,31,1.63,n,n,y,y,
SB1-07,31-May-17,S,2017,0,0,,,,,,,,,,,,,,,,,n,DEAD
SB1-08,31-May-17,S,2017,1,4,1234,3,4,96,5,6,8,7,3,0,16,13,0.81,n,n,y,y,
SB1-09,31-May-17,S,2017,2,4,1234,4,4,100,4,4,3,3,3,3,10,10,1,n,n,y,y,one clean leaf
SB1-10,31-May-17,S,2017,3,4,1234,3,4,96,3,0,3,6,4,11,10,17,1.7,n,n,y,y,
SB1-11,1-Jun-17,S,2017,2,4,1234,2,4,92,11,51,9,28,0,0,20,79,3.95,n,n,y,y,"top dead, few branches at base still alive"
SB1-12,1-Jun-17,S,2017,4,1,1,1,1,25,3,5,3,6,4,5,10,16,1.6,n,n,y,y,
SB1-13,1-Jun-17,S,2017,2,4,1234,3,4,96,5,10,3,10,4,11,12,31,2.58,n,n,y,y,
SB1-14,1-Jun-17,S,2017,5,2,123,2,3,51,3,7,5,9,10,59,18,75,4.16,n,n,y,y,
SB1-15,1-Jun-17,S,2017,4,2,1234,2,4,52,5,9,3,6,8,32,16,47,2.93,n,n,y,y,die back at top of leader
SB1-16,1-Jun-17,S,2017,4,3,1234,2,4,72,4,3,3,5,9,12,16,20,1.25,n,n,y,y,
SB1-17,1-Jun-17,S,2017,3,4,234,2,4,92,4,0,3,0,8,2,15,2,0.13,n,n,y,y,
SB1-18,1-Jun-17,S,2017,3,4,124,2,4,92,3,3,8,19,0,0,11,22,2,n,n,y,y,
SB1-19,1-Jun-17,S,2017,4,3,1234,2,4,72,3,6,5,12,6,16,14,34,2.42,n,n,y,y,
SB1-20,1-Jun-17,S,2017,4,2,1234,2,4,52,6,18,4,10,4,13,14,41,2.92,n,n,y,y,
PB1-01,27-Sep-17,F,2017,5,4,134,3,4,96,4,7,6,19,5,9,15,35,2.33,n,n,n,y,"RJ left ""other"" field blank (#1-5)"
PB1-02,27-Sep-17,F,2017,1,4,34,3,4,96,4,1,3,0,6,4,13,5,0.38,n,n,n,y,leaves only present at top and bottom
PB1-03,27-Sep-17,F,2017,2,4,23,3,3,95,5,2,8,5,3,6,16,13,0.81,n,y,n,y,"only 2 leaves on bottom half, "
PB1-04,27-Sep-17,F,2017,3,4,1234,2,4,92,11,33,8,23,3,7,22,63,2.86,n,n,n,y,woolly aphids
PB1-05,27-Sep-17,F,2017,2,4,1234,1,4,88,4,1,7,4,16,38,27,43,1.59,n,n,n,y,some leaves falling off while handling
PB1-06,27-Sep-17,F,2017,4,2,1234,2,4,52,6,7,9,0,9,31,24,38,1.58,n,n,y,y,
PB1-07,27-Sep-17,F,2017,3,4,123,3,3,95,3,7,7,17,3,0,13,24,1.84,n,n,n,y,only about 1/3 leaf cover; v few non-BLD leaves; minor insect damage
PB1-08,27-Sep-17,F,2017,4,4,1234,2,4,92,7,13,3,4,11,49,21,66,3.14,n,n,y,y,noticeably thin; minor insect damage
PB1-09,27-Sep-17,F,2017,4,2,123,2,3,51,4,10,7,23,4,11,15,44,2.93,n,n,y,y,
PB1-10,27-Sep-17,F,2017,5,2,123,2,3,51,5,11,4,6,8,34,17,51,3,y,n,y,y,
PB1-11,27-Sep-17,F,2017,5,3,1234,2,4,72,4,5,7,15,8,20,19,40,2.1,n,n,n,y,"RJ left ""other"" field blank (#11-15)"
PB1-12,27-Sep-17,F,2017,5,4,12,2,2,90,10,23,10,19,4,5,24,47,1.95,n,n,n,y,more than 50% of tree covered in woolly aphids
PB1-13,27-Sep-17,F,2017,5,4,1234,2,4,92,7,27,4,22,6,30,17,79,4.64,n,n,n,y,
PB1-14,27-Sep-17,F,2017,5,3,1234,2,4,72,9,24,3,1,9,28,21,53,2.52,n,n,n,y,
PB1-15,27-Sep-17,F,2017,5,2,1234,3,4,56,11,88,8,2,7,3,26,93,3.57,n,n,n,y,
PB1-16,27-Sep-17,F,2017,3,3,1234,2,4,72,7,6,11,48,9,11,27,65,2.4,n,n,y,y,many leafless twigs and dead buds; some insect damage
PB1-17,27-Sep-17,F,2017,4,2,123,1,3,47,5,9,4,9,4,4,13,22,1.69,n,n,y,y,
PB1-18,27-Sep-17,F,2017,3,1,12,1,2,26,3,2,4,15,3,6,10,23,2.3,n,n,y,y,"lots of woolly aphid frass, stains, mold"
PB1-19,27-Sep-17,F,2017,3,1,12,1,2,26,6,10,7,33,9,19,22,62,2.81,n,n,y,y,some CWD damage and other damage
PB1-20,27-Sep-17,F,2017,5,1,12,1,2,26,13,58,3,6,6,15,22,79,3.59,n,n,y,y,"stain, mold from woolly aphids"
SC1-01,26-Sep-17,F,2017,5,1,1,1,1,25,5,17,3,5,8,23,16,45,2.81,n,n,n,y,v few leaves w BLD; some insect damage
SC1-02,26-Sep-17,F,2017,5,1,1,1,1,25,5,12,6,28,5,11,16,51,3.18,n,n,n,y,single leaf w BLD; insect damage
SC1-03,26-Sep-17,F,2017,3,1,1,1,1,25,13,25,6,0,7,6,26,31,1.19,n,n,n,y,insect herb and other damage; BLD v low
SC1-04,26-Sep-17,F,2017,5,0,0,0,0,0,5,16,7,32,7,18,19,66,3.47,n,n,n,y,"some insect damage, but minor; some leaves w circular leaf miner"
SC1-05,26-Sep-17,F,2017,5,1,12,2,2,30,7,41,5,19,4,11,16,71,4.43,n,n,n,y,v few leaves w BLD; some insect andother damage; leader dead above 1.5m; dead long time
SC1-06,26-Sep-17,F,2017,,,,,,,,,,,,,,,,,,,n,DEAD
SC1-07,26-Sep-17,F,2017,5,0,0,0,0,0,10,10,3,10,5,14,18,34,1.88,n,n,n,y,few leaves w extensive physical damage and some BLD-like symptoms but not clearly BLD
SC1-08,26-Sep-17,F,2017,5,0,0,0,0,0,6,6,14,91,11,48,31,145,4.67,n,n,n,y,lots of damage to many leaves - insect?
SC1-09,26-Sep-17,F,2017,,,,,,,,,,,,,,,,,,,n,DEAD
SC1-10,26-Sep-17,F,2017,5,0,0,0,0,0,10,10,5,13,14,110,29,133,4.58,n,n,n,y,"some puckering similar to BLD, but not clearly BLD"
SC1-11,26-Sep-17,F,2017,5,1,12,2,2,30,10,59,7,9,12,57,29,125,4.31,n,n,y,y,canopy thinning
SC1-12,26-Sep-17,F,2017,5,0,0,0,0,0,3,8,4,9,4,13,11,30,2.72,n,n,n,y,"canopy thinning; lots of damage to leaves, no recognizable BLD"
SC1-13,26-Sep-17,F,2017,5,1,12,1,2,26,6,17,3,8,6,21,15,46,3.06,n,n,y,y,minor insect damage
SC1-14,26-Sep-17,F,2017,3,1,12,2,2,30,4,6,3,7,4,9,11,22,2,y,n,y,y,top 2/3 dead; tagged chewed
SC1-15,26-Sep-17,F,2017,5,0,0,0,0,0,8,22,4,10,8,32,20,64,3.2,n,n,n,y,lots of damage to leaves
SC1-16,26-Sep-17,F,2017,5,0,0,0,0,0,7,35,4,9,7,22,18,66,3.66,n,n,n,y,"lots of other damage to leaves, not BLD"
SC1-17,26-Sep-17,F,2017,5,0,0,0,0,0,14,80,5,10,6,24,25,114,4.56,n,n,n,y,"some other damage to leaves, not BLD"
SC1-18,26-Sep-17,F,2017,,,,,,,,,,,,,,,,,,,n,DEAD
SC1-19,26-Sep-17,F,2017,5,1,1,1,1,25,6,12,14,119,10,63,30,194,6.46,n,n,n,y,"some leafless branches, but canopy still >75%; single leaf w BLD; minor insect and other damage"
SC1-20,26-Sep-17,F,2017,5,1,1,1,1,25,5,13,4,11,7,3,16,27,1.68,n,n,n,y,
SB1-01,28-Sep-17,F,2017,2,4,134,3,4,96,8,12,3,5,0,0,11,17,1.54,n,y,,y,"only 2 live branches, both at top of tree"
SB1-02,28-Sep-17,F,2017,3,2,34,3,4,56,3,2,3,5,5,3,11,10,0.9,n,n,,y,only 15 leaves in total
SB1-03,28-Sep-17,F,2017,2,3,3,3,3,75,4,6,0,0,0,0,4,6,1.5,n,y,,y,leaders are dead; only 1 live branch w enough twigs; top ranches dead
SB1-04,28-Sep-17,F,2017,4,4,3,3,3,95,4,6,4,3,0,0,8,9,1.12,n,n,,y,has 3 fruits; several dead leaders; only 2 branches w enough twigs
SB1-05,28-Sep-17,F,2017,1,4,4,4,4,100,0,0,0,0,0,0,0,0,,n,y,,y,"only 1 leaf, dried, brown; 2 live buds"
SB1-06,28-Sep-17,F,2017,3,4,23,3,3,95,7,5,6,7,3,4,16,16,1,n,n,,y,
SB1-07,28-Sep-17,F,2017,,,,,,,,,,,,,,,,,,,n,DEAD
SB1-08,28-Sep-17,F,2017,1,2,3,3,3,55,0,0,0,0,0,0,0,0,,n,n,,y,26 leaves total; no branches w enough twigs to count
SB1-09,28-Sep-17,F,2017,1,4,134,3,4,96,0,0,0,0,0,0,0,0,,n,n,,y,16 leaves total; no branches w enough twigs to count
SB1-10,28-Sep-17,F,2017,1,4,4,4,4,100,0,0,0,0,0,0,0,0,,n,n,,y,"23 leaves total, all curled and brown; no healthy buds; no branches w enough twigs to count; may be dead"
SB1-11,28-Sep-17,F,2017,1,4,1234,2,4,92,9,14,3,2,7,0,19,16,0.84,n,n,n,y,only 2 leaves without BLD
SB1-12,28-Sep-17,F,2017,4,1,1,1,1,25,4,5,4,5,4,8,12,18,1.5,n,n,n,y,v few BLD leaves; some insect damage
SB1-13,28-Sep-17,F,2017,2,4,1234,2,4,92,5,6,6,3,5,3,16,12,0.75,n,n,n,y,many small dead twigs
SB1-14,28-Sep-17,F,2017,4,2,123,2,3,51,5,9,10,55,11,17,26,81,3.11,n,n,y,y,many 3s
SB1-15,28-Sep-17,F,2017,4,2,123,2,3,51,5,6,3,5,9,23,17,34,2,n,n,y,y,
SB1-16,28-Sep-17,F,2017,3,3,23,3,3,75,4,7,4,2,7,8,15,17,1.13,n,n,y,y,
SB1-17,28-Sep-17,F,2017,3,4,34,3,4,96,3,2,3,2,8,9,14,13,0.92,n,n,y,y,some insect damage
SB1-18,28-Sep-17,F,2017,4,4,23,3,3,95,3,3,4,0,3,3,10,6,0.6,n,n,n,y,only 23 leaves total
SB1-19,28-Sep-17,F,2017,3,1,12,1,2,26,6,8,3,3,4,10,13,21,1.61,n,n,n,y,"few woolly aphids; leaves show other stress, obscure BLD"
SB1-20,28-Sep-17,F,2017,1,1,1,1,1,25,3,7,0,0,0,0,3,7,2.33,n,n,n,y,few aphids; almost no healthy buds; 11 leaves total; only 1 live branch
SC1-01,29-May-18,S,2018,5,1,1234,1,4,28,5,27,6,32,5,29,16,88,5.5,N,n,y,y,"a few small leaves; some insect/mite damage, but low; BLD clustered"
SC1-02,29-May-18,S,2018,5,1,12,1,2,26,6,18,6,32,4,10,16,60,3.75,Y,n,y,y,some mite damage; few failed buds; BLD clustered
SC1-03,29-May-18,S,2018,4,2,123,2,3,51,8,46,3,11,0,0,11,57,5.18,N,n,y,y,some insect damage; many small dead twigs/branches; clustered BLD
SC1-04,29-May-18,S,2018,5,1,123,2,3,31,5,24,7,31,7,20,19,75,3.94,N,n,y,y,one failed bud; very little insect damage; clustered BLD
SC1-05,29-May-18,S,2018,5,1,1234,2,4,32,7,53,4,25,3,14,14,92,6.57,N,n,y,y,very old dead leader has broken off; one small dead branch; a few undersized leaves; category 3s clustered at top
SC1-06,29-May-18,S,2018,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,n,DEAD
SC1-07,29-May-18,S,2018,5,1,123,2,3,31,9,86,4,12,5,13,18,111,6.16,N,n,y,y,few failed buds
SC1-08,29-May-18,S,2018,5,1,12,2,2,30,5,32,3,8,11,80,19,120,6.31,N,n,y,y,minor insect/mite damage; did not assess 2nd leader
SC1-09,29-May-18,S,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,N,n,n,y,"leaves pale, thin, papery; only 1 twig with 7 leaves; no BLD symptoms (some puckering, not clearly BLD)"
SC1-10,29-May-18,S,2018,5,1,123,2,3,31,10,73,5,15,16,159,31,247,7.96,N,n,y,y,minor insect/mite damage; skipped 2nd leader; some insect damage
SC1-11,29-May-18,S,2018,5,3,1234,3,4,76,10,80,8,9,10,70,28,159,5.67,n,n,y,y,moderate mite damage; some aborted buds
SC1-12,29-May-18,S,2018,5,2,123,2,3,51,4,11,3,18,3,10,10,39,3.9,n,n,y,y,low mite damage
SC1-13,29-May-18,S,2018,5,2,1234,1,4,48,6,11,3,10,6,22,15,43,2.86,n,n,n,y,moderate mite damage; some aborted buds
SC1-14,29-May-18,S,2018,2,1,123,2,3,31,6,53,0,0,0,0,6,53,8.83,n,n,n,y,very low mite damage; ~4ft of dead leader at top
SC1-15,29-May-18,S,2018,5,2,12,2,2,50,8,41,4,20,7,53,19,114,6,n,n,n,y,"moderate mite damage; multi-trunked, twig couts off of leader"
SC1-16,29-May-18,S,2018,5,1,12,2,2,30,6,20,4,13,7,35,17,68,4,n,n,y,y,low mite damage
SC1-17,29-May-18,S,2018,5,1,12,2,2,30,14,116,4,13,5,36,23,165,7.17,n,n,y,y,low mite damage
SC1-18,29-May-18,S,2018,5,1,123,2,3,31,3,7,15,88,7,18,25,113,4.52,y,n,y,y,"low mite damage; tree has 2 leaders, twig count off of main leader"
SC1-19,29-May-18,S,2018,5,2,123,2,3,51,6,52,5,16,8,148,19,216,11.36,n,n,y,y,moderate mite damage
SC1-20,29-May-18,S,2018,4,1,1234,2,4,32,4,9,7,38,9,22,20,69,3.45,n,n,y,y,some mite damage; some aborted buds; leader dead & snapped off; several dead sub-branches on top branch
SB1-01,30-May-18,S,2018,1,4,3,3,3,95,3,0,3,4,5,0,11,4,0.36,n,n,n,y,"only 4 leaves; 2 small/shrivelled, some insect damage"
SB1-02,30-May-18,S,2018,3,4,1234,3,4,96,3,6,3,6,4,5,10,17,1.7,n,n,y,y,3 clean leaves
SB1-03,30-May-18,S,2018,3,4,1234,3,4,96,3,7,0,0,0,0,3,7,2.33,n,n,n,y,only 2 clean leaves; minor insect damage
SB1-04,30-May-18,S,2018,1,4,1234,3,4,96,3,0,4,0,6,4,13,4,0.3,n,n,n,y,100% BLD
SB1-05,30-May-18,S,2018,1,4,4,4,4,100,,,,,,,,,,n,n,n,y,main stem broken at soil; small root sprout w 2 misshapen leaves
SB1-06,30-May-18,S,2018,2,4,124,2,4,92,10,42,5,7,5,1,20,50,2.5,n,n,y,y,many very pale leaves
SB1-07,30-May-18,S,2018,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,n,
SB1-08,30-May-18,S,2018,1,4,134,4,4,100,3,0,4,0,4,5,11,5,0.45,n,n,n,y,nearly 100% BLD
SB1-09,30-May-18,S,2018,1,4,12,2,2,90,3,4,3,0,3,0,9,4,0.44,n,n,n,y,100% BLD
SB1-10,30-May-18,S,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,n,
SB1-11,30-May-18,S,2018,2,4,4,4,4,100,3,11,5,5,0,0,8,16,2,n,n,n,y,main leader has no live branches; twig count off of smaller leader; aborted buds
SB1-12,30-May-18,S,2018,3,3,14,4,4,80,3,14,3,7,3,16,9,37,4.11,n,n,n,y,aborted buds
SB1-13,30-May-18,S,2018,3,4,234,4,4,100,3,8,4,15,0,0,7,23,3.28,n,n,n,y,2 leaders; twig counts off of taller leader
SB1-14,30-May-18,S,2018,4,2,1234,4,4,60,4,15,9,80,12,100,25,195,7.8,n,n,n,y,
SB1-15,30-May-18,S,2018,3,4,134,4,4,100,4,2,5,6,3,13,12,21,1.75,n,n,n,y,
SB1-16,30-May-18,S,2018,1,4,4,4,4,100,9,10,6,0,5,5,20,15,0.75,n,n,n,y,counted main leader; all leaves very small; many aborted buds
SB1-17,30-May-18,S,2018,1,4,3,3,3,95,3,3,3,0,4,1,10,4,0.4,n,n,n,y,many aborted buds
SB1-18,30-May-18,S,2018,3,4,234,3,4,96,4,16,0,0,0,0,4,16,4,n,n,n,y,aborted buds; some insect damage
SB1-19,30-May-18,S,2018,4,4,1234,3,4,96,3,5,4,12,4,9,11,26,2.36,n,n,n,y,tree is a root sprout from adjacent large tree (with severe BLD); some insect damage
SB1-20,30-May-18,S,2018,3,2,1234,1,4,48,3,21,4,10,4,14,11,45,4.09,n,n,y,y,tree is likely a root sprout from large adjacent beech with sever BLD
PB1-01,31-May-18,S,2018,2,4,1234,3,4,96,3,6,5,11,5,12,13,29,2.23,n,n,y,y,nearly 100% BLD
PB1-02,31-May-18,S,2018,1,4,34,3,4,96,3,2,0,0,0,0,3,2,0.66,n,n,n,y,herbivore damage; some misshapen leaves
PB1-03,31-May-18,S,2018,1,4,134,3,4,96,4,7,7,5,4,7,15,19,1.26,n,n,y,y,several very small leaves; misshapen leaves
PB1-04,31-May-18,S,2018,2,4,1234,3,4,96,9,35,7,15,3,2,19,52,2.73,n,n,y,y,2 clean leaves; many 4s
PB1-05,31-May-18,S,2018,3,4,1234,3,4,96,6,5,3,6,15,29,24,40,1.66,n,n,y,y,only 2 clean leaves; many 4s; many very small leaves
PB1-06,31-May-18,S,2018,4,4,1234,2,4,92,4,16,9,42,5,10,18,68,3.77,n,n,y,y,close to 75% BLD; many very small curled leaves - failed to expand after emerge
PB1-07,31-May-18,S,2018,2,4,123,2,3,91,3,0,6,9,4,1,13,10,0.76,n,n,y,y,several small curled dark brown leaves
PB1-08,31-May-18,S,2018,3,4,123,2,3,91,5,8,3,4,11,33,19,45,2.36,n,n,y,y,some mite damage
PB1-09,31-May-18,S,2018,4,4,23,3,3,95,5,12,4,12,3,5,12,29,2.41,n,n,y,y,
PB1-10,31-May-18,S,2018,2,4,123,3,3,95,5,0,3,2,8,29,16,31,1.93,n,n,y,y,barely 2 leaf cover; very few clean leaves; some leaves w brown patches; some very small leaves
PB1-11,31-May-18,S,2018,2,3,4,4,4,80,4,0,5,2,6,7,15,9,0.6,n,n,n,y,aborted buds; some insect damage
PB1-12,31-May-18,S,2018,0,,,,,,,,,,,,,,,,,,n,tree smashed by large branch; no green leaves and looks dead; but twigs still seem springy and green
PB1-13,31-May-18,S,2018,1,3,124,4,4,80,6,16,6,1,3,0,15,17,1.13,n,n,n,y,"aborted buds; some insect damage; several leaders, twig/leaf counts from main leader"
PB1-14,31-May-18,S,2018,2,4,34,4,4,100,4,4,3,6,6,6,13,16,1.23,n,n,n,y,"aborted buds; some insect damage; several leaders, twig/leaf counts from main leader"
PB1-15,31-May-18,S,2018,4,4,1234,3,4,96,10,71,4,5,4,13,18,89,4.94,n,n,n,y,"aborted buds; some insect damage; several leaders, twig/leaf counts from main leader"
PB1-16,31-May-18,S,2018,1,4,134,4,4,100,3,6,9,8,4,0,16,14,0.87,n,n,n,y,"aborted buds; some insect damage; several leaders, twig/leaf counts from main leader"
PB1-17,31-May-18,S,2018,1,3,234,2,4,72,7,15,3,3,6,9,16,27,1.68,n,n,n,y,aborted buds; some insect damage
PB1-18,31-May-18,S,2018,2,4,1234,4,4,100,3,6,3,9,3,3,9,18,2,n,n,n,y,main leader has died; aborted buds
PB1-19,31-May-18,S,2018,4,3,1234,3,4,76,5,15,7,27,6,5,18,47,2.61,n,n,n,y,some insect damage; aborted buds and leaves
PB1-20,31-May-18,S,2018,4,3,1234,3,4,76,9,52,6,10,4,3,19,65,3.42,n,n,n,y,"tree appears to be root sprout from larger tree; multiple leaders, counted main stem; some insect damage; aborted leaves and buds"
SC1-01,1-Oct-18,F,2018,4,1,12,2,2,30,6,26,6,31,5,27,17,84,4.94,n,n,n,y,failed buds; some damage
SC1-02,1-Oct-18,F,2018,3,1,1,1,1,25,6,11,7,10,5,8,18,29,1.61,n,n,n,y,"very low; few BLD leaves; many failed buds, damaged leaves"
SC1-03,1-Oct-18,F,2018,3,1,1,1,1,25,3,1,8,13,6,7,17,21,1.23,n,n,n,y,"many dead buds and damaged leaves, very few BLD leaves"
SC1-04,1-Oct-18,F,2018,4,1,13,3,3,35,5,22,7,24,4,11,16,57,3.56,n,n,y,y,many failed buds and lots of damage
SC1-05,1-Oct-18,F,2018,5,1,12,1,2,26,7,40,3,6,6,21,16,67,4.18,n,n,y,y,few dead buds; some damaged leaves
SC1-06,1-Oct-18,F,2018,0,,,,,,,,,,,,,,,,,,n,DEAD
SC1-07,1-Oct-18,F,2018,4,1,12,2,2,30,10,58,3,6,4,4,17,68,4,n,n,y,y,some dead buds and twigs; damaged leaves
SC1-08,1-Oct-18,F,2018,3,1,12,2,2,30,6,13,11,45,5,17,22,75,3.4,n,n,y,y,many dead twigs and buds; very few BLD leaves; some damage to leaves
SC1-09,1-Oct-18,F,2018,0,,,,,,,,,,,,,,,,,,n,DEAD
SC1-10,1-Oct-18,F,2018,4,2,123,2,3,51,10,51,5,7,16,133,31,191,6.16,n,n,y,y,
SC1-11,1-Oct-18,F,2018,3,2,123,2,3,51,12,47,3,7,11,50,26,104,4,n,n,y,y,
